stage,kind,model,noise_level,model_seed,required,status,expected_path
evaluation,scratch,RNNTransformer,0.3,9550,True,missing,
evaluation,scratch,RNNTransformer,0.3,9551,True,missing,
evaluation,scratch,RNNTransformer,0.3,9552,True,missing,
evaluation,scratch,Transformer,0.0,9550,True,missing,
evaluation,scratch,Transformer,0.0,9551,True,missing,
evaluation,scratch,Transformer,0.0,9552,True,missing,
evaluation,scratch,Transformer,0.1,9550,True,missing,
evaluation,scratch,Transformer,0.1,9551,True,missing,
evaluation,scratch,Transformer,0.1,9552,True,missing,
evaluation,scratch,Transformer,0.2,9550,True,missing,
evaluation,scratch,Transformer,0.2,9551,True,missing,
evaluation,scratch,Transformer,0.2,9552,True,missing,
evaluation,scratch,Transformer,0.3,9550,True,missing,
evaluation,scratch,Transformer,0.3,9551,True,missing,
evaluation,scratch,Transformer,0.3,9552,True,missing,
training,baseline,chain_occupancy_logreg,0.0,9550,True,missing,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/baselines/pi_0p0/chain_occupancy_logreg
training,baseline,chain_occupancy_logreg,0.1,9550,True,missing,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/baselines/pi_0p1/chain_occupancy_logreg
training,baseline,chain_occupancy_logreg,0.2,9550,True,missing,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/baselines/pi_0p2/chain_occupancy_logreg
training,baseline,chain_occupancy_logreg,0.3,9550,True,missing,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/baselines/pi_0p3/chain_occupancy_logreg
training,baseline,chain_occupancy_xgb,0.0,9550,True,missing,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/baselines/pi_0p0/chain_occupancy_xgb
training,baseline,chain_occupancy_xgb,0.1,9550,True,missing,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/baselines/pi_0p1/chain_occupancy_xgb
training,baseline,chain_occupancy_xgb,0.2,9550,True,missing,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/baselines/pi_0p2/chain_occupancy_xgb
training,baseline,chain_occupancy_xgb,0.3,9550,True,missing,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/baselines/pi_0p3/chain_occupancy_xgb
training,baseline,lag_pair_logreg,0.0,9550,True,missing,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/baselines/pi_0p0/lag_pair_logreg
training,baseline,lag_pair_logreg,0.1,9550,True,missing,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/baselines/pi_0p1/lag_pair_logreg
training,baseline,lag_pair_logreg,0.2,9550,True,missing,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/baselines/pi_0p2/lag_pair_logreg
training,baseline,lag_pair_logreg,0.3,9550,True,missing,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/baselines/pi_0p3/lag_pair_logreg
training,baseline,lag_trigram_logreg,0.0,9550,True,missing,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/baselines/pi_0p0/lag_trigram_logreg
training,baseline,lag_trigram_logreg,0.1,9550,True,missing,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/baselines/pi_0p1/lag_trigram_logreg
training,baseline,lag_trigram_logreg,0.2,9550,True,missing,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/baselines/pi_0p2/lag_trigram_logreg
training,baseline,lag_trigram_logreg,0.3,9550,True,missing,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/baselines/pi_0p3/lag_trigram_logreg
training,baseline,letter_count_logreg,0.0,9550,True,missing,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/baselines/pi_0p0/letter_count_logreg
training,baseline,letter_count_logreg,0.1,9550,True,missing,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/baselines/pi_0p1/letter_count_logreg
training,baseline,letter_count_logreg,0.2,9550,True,missing,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/baselines/pi_0p2/letter_count_logreg
training,baseline,letter_count_logreg,0.3,9550,True,missing,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/baselines/pi_0p3/letter_count_logreg
training,baseline,occupancy_max_count,0.0,9550,True,missing,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/baselines/pi_0p0/occupancy_max_count
training,baseline,occupancy_max_count,0.1,9550,True,missing,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/baselines/pi_0p1/occupancy_max_count
training,baseline,occupancy_max_count,0.2,9550,True,missing,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/baselines/pi_0p2/occupancy_max_count
training,baseline,occupancy_max_count,0.3,9550,True,missing,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/baselines/pi_0p3/occupancy_max_count
training,baseline,occupancy_max_run,0.0,9550,True,missing,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/baselines/pi_0p0/occupancy_max_run
training,baseline,occupancy_max_run,0.1,9550,True,missing,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/baselines/pi_0p1/occupancy_max_run
training,baseline,occupancy_max_run,0.2,9550,True,missing,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/baselines/pi_0p2/occupancy_max_run
training,baseline,occupancy_max_run,0.3,9550,True,missing,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/baselines/pi_0p3/occupancy_max_run
training,baseline,occupancy_n_chains_ge2,0.0,9550,True,missing,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/baselines/pi_0p0/occupancy_n_chains_ge2
training,baseline,occupancy_n_chains_ge2,0.1,9550,True,missing,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/baselines/pi_0p1/occupancy_n_chains_ge2
training,baseline,occupancy_n_chains_ge2,0.2,9550,True,missing,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/baselines/pi_0p2/occupancy_n_chains_ge2
training,baseline,occupancy_n_chains_ge2,0.3,9550,True,missing,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/baselines/pi_0p3/occupancy_n_chains_ge2
training,baseline,oracle,0.0,9550,True,missing,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/baselines/pi_0p0/oracle
training,baseline,oracle,0.1,9550,True,missing,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/baselines/pi_0p1/oracle
training,baseline,oracle,0.2,9550,True,missing,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/baselines/pi_0p2/oracle
training,baseline,oracle,0.3,9550,True,missing,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/baselines/pi_0p3/oracle
training,baseline,position_lag_pair_logreg,0.0,9550,True,missing,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/baselines/pi_0p0/position_lag_pair_logreg
training,baseline,position_lag_pair_logreg,0.1,9550,True,missing,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/baselines/pi_0p1/position_lag_pair_logreg
training,baseline,position_lag_pair_logreg,0.2,9550,True,missing,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/baselines/pi_0p2/position_lag_pair_logreg
training,baseline,position_lag_pair_logreg,0.3,9550,True,missing,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/baselines/pi_0p3/position_lag_pair_logreg
training,hf,bert_lora,0.0,9950,True,completed,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/bert_lora/pi_0p0/seed_9950
training,hf,bert_lora,0.3,9950,True,completed,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/bert_lora/pi_0p3/seed_9950
training,hf,llama_lora,0.0,9950,True,completed,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/llama_lora/pi_0p0/seed_9950
training,hf,llama_lora,0.3,9950,True,completed,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/llama_lora/pi_0p3/seed_9950
training,scratch,LSTM,0.0,9550,True,missing,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/lstm/pi_0p0/seed_9550
training,scratch,LSTM,0.0,9551,True,missing,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/lstm/pi_0p0/seed_9551
training,scratch,LSTM,0.0,9552,True,missing,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/lstm/pi_0p0/seed_9552
training,scratch,LSTM,0.1,9550,True,missing,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/lstm/pi_0p1/seed_9550
training,scratch,LSTM,0.1,9551,True,missing,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/lstm/pi_0p1/seed_9551
training,scratch,LSTM,0.1,9552,True,missing,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/lstm/pi_0p1/seed_9552
training,scratch,LSTM,0.2,9550,True,missing,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/lstm/pi_0p2/seed_9550
training,scratch,LSTM,0.2,9551,True,missing,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/lstm/pi_0p2/seed_9551
training,scratch,LSTM,0.2,9552,True,missing,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/lstm/pi_0p2/seed_9552
training,scratch,LSTM,0.3,9550,True,missing,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/lstm/pi_0p3/seed_9550
training,scratch,LSTM,0.3,9551,True,missing,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/lstm/pi_0p3/seed_9551
training,scratch,LSTM,0.3,9552,True,missing,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/lstm/pi_0p3/seed_9552
training,scratch,RNNTransformer,0.0,9550,True,missing,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/rnntransformer/pi_0p0/seed_9550
training,scratch,RNNTransformer,0.0,9551,True,missing,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/rnntransformer/pi_0p0/seed_9551
training,scratch,RNNTransformer,0.0,9552,True,missing,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/rnntransformer/pi_0p0/seed_9552
training,scratch,RNNTransformer,0.1,9550,True,missing,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/rnntransformer/pi_0p1/seed_9550
training,scratch,RNNTransformer,0.1,9551,True,missing,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/rnntransformer/pi_0p1/seed_9551
training,scratch,RNNTransformer,0.1,9552,True,missing,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/rnntransformer/pi_0p1/seed_9552
training,scratch,RNNTransformer,0.2,9550,True,missing,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/rnntransformer/pi_0p2/seed_9550
training,scratch,RNNTransformer,0.2,9551,True,missing,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/rnntransformer/pi_0p2/seed_9551
training,scratch,RNNTransformer,0.2,9552,True,missing,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/rnntransformer/pi_0p2/seed_9552
training,scratch,RNNTransformer,0.3,9550,True,missing,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/rnntransformer/pi_0p3/seed_9550
training,scratch,RNNTransformer,0.3,9551,True,missing,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/rnntransformer/pi_0p3/seed_9551
training,scratch,RNNTransformer,0.3,9552,True,missing,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/rnntransformer/pi_0p3/seed_9552
training,scratch,Transformer,0.0,9550,True,missing,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/transformer/pi_0p0/seed_9550
training,scratch,Transformer,0.0,9551,True,missing,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/transformer/pi_0p0/seed_9551
training,scratch,Transformer,0.0,9552,True,missing,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/transformer/pi_0p0/seed_9552
training,scratch,Transformer,0.1,9550,True,missing,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/transformer/pi_0p1/seed_9550
training,scratch,Transformer,0.1,9551,True,missing,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/transformer/pi_0p1/seed_9551
training,scratch,Transformer,0.1,9552,True,missing,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/transformer/pi_0p1/seed_9552
training,scratch,Transformer,0.2,9550,True,missing,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/transformer/pi_0p2/seed_9550
training,scratch,Transformer,0.2,9551,True,missing,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/transformer/pi_0p2/seed_9551
training,scratch,Transformer,0.2,9552,True,missing,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/transformer/pi_0p2/seed_9552
training,scratch,Transformer,0.3,9550,True,missing,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/transformer/pi_0p3/seed_9550
training,scratch,Transformer,0.3,9551,True,missing,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/transformer/pi_0p3/seed_9551
training,scratch,Transformer,0.3,9552,True,missing,/cluster/work/projects/ec12/michechi/checkpoints/oc_hole_audit/transformer/pi_0p3/seed_9552
